,MM_id,Brand,laptop_name,display_info,processor_info,RAM,HDD,grapic_Card,colour,laptop,MM_Artkl_number,Nr_of_reviews,Processor,O_S,Screen_size_(cm / inch),Screen_resolution,Memory _Type,Processor_Brand,Processor_Model,Graphics_card_manufacturer,Connections,WLAN_standards,Bluetooth_version,Dimensions_(B / H / T) / Weight,price
0,M_0,HP,HP 15-DA0308NG, Notebook mit 15.6 Zoll Display, Intel® Core? i3 der siebten Generation Prozessor, 4 GB RAM, 1000 GB HDD, HD Grafik 620, Schwarz,"HP 15-DA0308NG, Notebook mit 15.6 Zoll Display, Intel® Core? i3 der siebten Generation Prozessor, 4 GB RAM, 1000 GB HDD, HD Grafik 620, Schwarz",2431075,0,"Intel® Core ? i3-7020U processor (2.30 GHz with Intel® Turbo Boost Technology 2.0, 3 MB ...",Windows 10 Home,39.6 cm / 15.6 Zoll,1.920 x 1.080 Pixel,DDR4,Intel®,Intel® Core? i3 der siebten Generation,Intel®,DVD Brenner,null,null,null,"4 9 9 , -"
1,M_1,APPLE,APPLE MacBook Pro MR932D/A-139735 mit internationaler englischer Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 16 GB RAM, 1 TB SSD, Radeon Pro 555X, Space Grau,"APPLE MacBook Pro MR932D/A-139735 mit internationaler englischer Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 16 GB RAM, 1 TB SSD, Radeon Pro 555X, Space Grau",2457961,0,"2,9 GHz 6-Core Intel Core i9 Prozessor der 8. Generation (Turbo Boost bis zu 4,8 GHz)","SSD , 1 TB",39.11 cm / 15.4 Zoll,2.880 x 1.800 Pixel,DDR4,Intel,Core i9,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"3999,-"
2,M_2,APPLE,APPLE MacBook Pro MR9V2D/A-139620 mit deutscher Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor,null, 1 TB SSD, IrisPlus Graphics 655, Silber,"APPLE MacBook Pro MR9V2D/A-139620 mit deutscher Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 1 TB SSD, IrisPlus Graphics 655, Silber",2458240,0,2.7 GHz quad-core Intel Core i7 processor of the 8th generation (Turbo Boost up to ...,IrisPlus Graphics 655,33.78 cm / 13.3 inches,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i7,Intel,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhörer Anschluss",802.11ac,5,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"3 1 0 9 , -"
3,M_3,APPLE,APPLE MacBook Air mit deutscher Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor, 8 GB RAM, 512 GB SSD, HD Graphics 6000, Silber,"APPLE MacBook Air mit deutscher Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor, 8 GB RAM, 512 GB SSD, HD Graphics 6000, Silber",2294154,1,1.8GHz Intel Dual Core i5 processor (Turbo Boost up to 2.9GHz),OS Sierra,33.78 cm / 13.3 Zoll,1.440 x 900 Pixel,LPDDR3,Intel,Core i5,Intel,"2x USB 3.0, 1x Thunderbolt 2, 1x MagSafe 2, 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4,325 mm x 17 mm x 227 mm / 1.35 kg,"1 5 9 9 , -"
4,M_4,APPLE,APPLE MacBook Pro MR932D/A-139698 mit deutscher Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 32 GB RAM, 256 GB SSD, Radeon Pro 555X, Space Grau,"APPLE MacBook Pro MR932D/A-139698 mit deutscher Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 32 GB RAM, 256 GB SSD, Radeon Pro 555X, Space Grau",2457924,0,2.9GHz 6-Core Intel Core i9 8th Generation Processor (Turbo Boost up to 4.8GHz),"SSD, 256 GB",39.11 cm / 15.4 Zoll,2.880 x 1.800 Pixel,DDR4,Intel,Core i9,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"3 7 5 9 , -"
5,M_5,APPLE,APPLE MacBook Pro mit deutscher Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 8 GB RAM, 128 GB SSD, Iris Plus Graphics 640, Space Grey,"APPLE MacBook Pro mit deutscher Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 8 GB RAM, 128 GB SSD, Iris Plus Graphics 640, Space Grey",2294126,1,2.5 GHz dual-core Intel Core i7 processor (Turbo Boost up to 4.0 GHz),macOS Sierra,33.78 cm / 13.3 Zoll,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i7,Intel,"2x Thunderbolt 3 (USB-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"1 8 5 9 , -"
6,M_6,XMG,XMG A517 - M18dxs, Gaming Notebook mit 15.6 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 1 GB SSHD, GeForce GTX 1060, Schwarz,"XMG A517 - M18dxs, Gaming Notebook mit 15.6 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 1 GB SSHD, GeForce GTX 1060, Schwarz",2412846,0,Intel® Core ? i7-8750H processor (up to 4.10 GHz with Intel® Turbo Boost technology),without operating system,39.6 cm / 15.6 Zoll,1.920 x 1.080 Pixel,DDR4,Intel®,Core? i7,NVIDIA®,"1x USB Typ-A 2.0, 1x USB Typ-A 3.0, 1x USB Typ-A 3.1 Gen2, 1x USB Typ-C 3.1 Gen2, 1x HDMI 2.0 (mit HDCP), 1x Mini-DisplayPort 1.2, 1x Mini-DisplayPort 1.4 (unterstützt G-SYNC-fähigen Monitor), 1x Kopfhörerausgang, 1x Mikrofoneingang, 1x RJ-45","802.11a/b/g/n/ac, 2,4 Ghz und 5 Ghz mit bis zu 1.73 Gbps",5,378 mm x 29 mm x 267 mm / 2.5 kg,"1 2 2 9 , -"
7,M_7,APPLE,APPLE MacBook Pro MR9Q2D/A-139401 mit britischer Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor,null, 512 GB SSD, Iris Plus Graphics 655, Space Grau,"APPLE MacBook Pro MR9Q2D/A-139401 mit britischer Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor, 512 GB SSD, Iris Plus Graphics 655, Space Grau",2458708,0,2.3 GHz quad-core Intel Core i5 processor of the 8th generation (Turbo Boost up to 3.8 ...,Iris Plus Graphics 655,33.78 cm / 13.3 Zoll,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i5,Intel,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhörer Anschluss",802.11ac,5,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"2 2 4 9 , -"
8,M_8,APPLE,APPLE MacBook Pro mit deutscher Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 16 GB RAM, 512 GB SSD, Iris Plus Graphics 640, Silber,"APPLE MacBook Pro mit deutscher Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 16 GB RAM, 512 GB SSD, Iris Plus Graphics 640, Silber",2297828,0,2.5 GHz dual-core Intel Core i7 processor (Turbo Boost up to 4.0 GHz),macOS Sierra,33.78 cm / 13.3 inches,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i7,Intel,"2x Thunderbolt 3 (USB-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"2 5 9 9 , -"
9,M_9,APPLE,APPLE MacBook Pro MR972D/A-140227 mit französischer Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor,null, 2 TB SSD, Radeon Pro 560X, Silber,"APPLE MacBook Pro MR972D/A-140227 mit französischer Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 2 TB SSD, Radeon Pro 560X, Silber",2458695,0,2.9GHz 6-Core Intel Core i9 8th Generation Processor (Turbo Boost up to 4.8GHz),Radeon Pro 560X,39.11 cm / 15.4 Zoll,2.880 x 1.800 Pixel,DDR4,Intel,Core i9,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"5 0 7 9 , -"
