,Brand,Unnamed: 1,MM_id,laptop_name,display_info,processor_info,RAM,HDD,grapic_Card,weight,processor_speed,colour,laptop,MM_Artkl_number,Nr_of_reviews,Processor,O_S,Screen_size_(cm / inch),Screen_resolution,Memory_Type,Processor_Brand,Processor_Model,Graphics_card_manufacturer,Connections,WLAN_standards,Bluetooth_version,Dimensions_(B / H / T) / Weight,price,Headquarters,Country,CEO,Founder,Revenue_usd
0,ACER,19,M_19,ACER Swift 1 (SF114-32-P60X), Notebook mit 14 Zoll Display,null, 4 GB RAM, 64 GB eMMC,null, 1.4 kg,null, Aluminium-Unibody/Sparkly Silver,null,2435613,2,null,null,35.56 cm / 14 Zoll,1.920 x 1.080 Pixel,DDR4,null,null,null,null,null,4,323 mm x 14.95 mm x 228 mm / 1.4 kg,"4 3 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
1,ACER,21,M_21,ACER Aspire 5 (A517-51G-592A), Notebook mit 17.3 Zoll Display, Core? i5 Prozessor, 8 GB RAM, 1 TB HDD,null,null,null, Schwarz,null,2479615,0,null,Windows 10 Home (64 bit),43.94 cm / 17.3 inches,1.920 x 1.080 Pixel,DDR4,null,Core? i5,NVIDIA,DVD Brenner,null,null,null,"8 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
2,ACER,31,M_31,ACER Swift 3 (SF314-55-71NF), Notebook mit 14 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 512 GB SSD,null,null,null, Silber,null,2479571,0,null,Windows 10 Home (64 bit),35.56 cm / 14 inches,"1,920 x 1,080 pixels",DDR4,null,Core? i7,NVIDIA,null,null,null,null,"1 1 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
3,ACER,72,M_72,ACER Predator Helios 500 (PH517-51-93LS), Gaming Notebook mit 17.3 Zoll Display, Core? i9 Prozessor, 32 GB RAM, 1 TB HDD,null, 4 Kg,null, Schwarz/Blau,null,2437414,1,null,null,43.94 cm / 17.3 inches,"3,840 x 2,160 pixels",DDR4,null,Core? i9,NVIDIA,"2x  USB Typ-C, 3x USB 3.0,  (davon 1x Power-Off USB Charging), 1x RJ-45, 1x 3.5 mm Klinke, 1x Mikrofon, 1x HDMI, 1x Display Port",null,5,428 mm x 38.7 mm x 298 mm / 4 Kg,"2 9 0 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
4,ACER,103,M_103,ACER Swift 1 (SF114-32-P9UZ), Notebook mit 14 Zoll Display,null, 4 GB RAM, 64 GB eMMC,null, 1.4 kg,null, Aluminium-Unibody / Luxury Gold,null,2435604,2,null,null,35.56 cm / 14 Zoll,1.920 x 1.080 Pixel,DDR4,null,null,null,null,null,4,323 mm x 14.95 mm x 228 mm / 1.4 kg,"4 4 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
5,ACER,111,M_111,ACER Swift 1 (SF114-32-P1S3), Notebook mit 14 Zoll Display,null, 4 GB RAM, 256 GB SSD,null,null,null, Sakura Pink,null,2479598,0,null,Windows 10 Home (64 bit),35.56 cm / 14 inches,1.920 x 1.080 Pixel,DDR4,null,null,null,null,null,null,null,"599,-", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
6,ACER,132,M_132,ACER Nitro 5 (AN515-51-76BT), Notebook mit 15.6 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 1 TB HDD,null,null,null, Schwarz,null,2276072,4,null,Windows 10 Home (64 bit),39.6 cm / 15.6 inches,1920x1080 pixels,DDR4,null,Core? i7,null,null,null,null,null,"1 0 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
7,ACER,133,M_133,ACER Aspire 3 (A315-31-P4ML), Notebook mit 15.6 Zoll Display,null, 4 GB RAM, 1 TB HDD,null, 2.1 kg,null, Schwarz,null,2471745,1,null,Windows 10 Home (64 bit),39.62 cm / 15.6 Zoll,1.366 x 768 Pixel,DDR3L,null,null,null,null,802.11 ac/a/b/g/n,4,381 mm x 21.6 mm x 259 mm / 2.1 kg,"3 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
8,ACER,145,M_145,ACER Nitro 5 (AN515-51-5491), Gaming Notebook mit 15.6 Zoll Display, Core? i5 Prozessor, 8 GB RAM, 512 GB SSD,null, 2.7 kg,null, Schwarz/Rot,null,2356712,7,null,Windows 10 Home (64 bit),39.62 cm / 15.6 inches,"1,920 x 1,080 pixels",DDR4,null,Core? i5,null,null,802.11 ac/a/b/g/n,4,390 mm x 26.75 mm x 266 mm / 2.7 kg,"9 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
9,ACER,214,M_214,ACER TravelMate X3 (X349-G2-M-58W2), Notebook mit 14 Zoll Display, Core? i5 Prozessor, 8 GB RAM, 256 GB SSD,null,null,null,null,null,2257280,5,null,Windows 10 Home (64 bit),35.56 cm / 14 inches,"1,920 x 1,080 pixels",DDR4,null,Core? i5,null,null,null,null,null,"7 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
